OBJECTID,District,Route,Direction,Begin_County,Begin_Post_Mile,End_County,End_Post_Mile,Begin_Abs_Post_Mile,End_Abs_Post_Mile,Description,Length__Lane_Miles_,Occupancy_Requirement,Hours_of_Operation,Segment_Opening_Date,Comments,Shape_Length
95,7,60,WB,LA,R30.456,LA,13.82,30.597,13.961,San Bernardino County Line to 0.4 miles west of 7th Ave,16.636,2+,24 Hr,San Bernardino Co Line to Jct Rte 57 North - Feb 1999; Jct Rte 57 North to Brea Canyon Rd - Feb 1999; Brea Canyon Rd to 0.4 mi west of 7th Avenue - Oct 2010,Continuation of HOV lane from San Bernardino County,32291.06395
96,7,91,WB,LA,R20.741,SBD,R8.532,14.739,2.53,Orange County Line to Central Avenue,12.209,2+,24 Hr,Orange Co Line to Rte 605 - Nov 1994; Rte 605 to Central Avenue - Mar 1993,Continuation of HOV lane from Orange County,23635.15707
97,7,105,WB,LA,R18.14,LA,R2.42,18.14,2.42,Studebaker Rd to I-405,15.72,2+,24 Hr,Oct-93,,30479.678
98,7,118,WB,LA,R10.817,VEN,R32.105,42.546,31.231,I-5 to 0.3 miles west of Rocky Peak Road,11.315,2+,24 Hr,Mar-97,,22048.86721
99,7,134,WB,LA,R13.341,LA,R6.15,13.341,6.15,I-210 to I-5,7.191,2+,24 Hr,Rte 210 to Rte 2 - Aug 1996; Rte 2 to Rte 5 - Mar 1996,Continuation of HOV lane from Route 210,13985.9729
100,7,134,WB,LA,4.891,LA,0.721,4.89,0.721,I-5 to 0.1 mile west of Cahuenga Blvd,4.169,2+,24 Hr,Oct-95,,8081.650986
101,7,210,WB,LA,R52.150,LA,R25.238,52.439,25.218,San Bernardino County Line to  SR-134,27.221,2+,24 Hr,San Bernardino Co Line to Foothill Blvd- Nov 2002; Foothill Blvd to Sunflower Ave- Sep 1997; Sunflower Ave to Jct Rte 134 - Dec 1993,Continuation of HOV lane from San Bernardino County,52897.63414
102,8,10,WB,SBD,8.518,LA,0,55.283,46.765,Haven Ave to Los Angeles County Line,8.518,2+,24 Hr,Jan-00,Continues into Los Angeles County.,16541.69286
103,8,60,WB,RIV,20.134,RIV,R11.750,61.041,52.964,Redlands Blvd to East Jct I-215,8.077,2+,M-F 06:00-10:00 and 15:00-19:00 and 24 Hr from Day St to I-215,02/2003; 06/2014,Continues onto Route 215,15622.66315
104,8,60,WB,RIV,12.426,SBD,R0.000,52.706,30.597,West Jct I-215 To Los Angeles County Line,22.109,2+,24 Hr,SR-60/SR-91/I-215 (west) IC to Valley Way - 06/2001; Valley Way to SBD/RIV Co Line -01/2008; 01/1997,Continuation of HOV lane from Route 215,43050.28547
105,8,91,WB,RIV,22.068,RIV,8.096,59.412,45.44,I-215 to 0.7 mi e/of I-15,13.972,2+,24 Hr,Jct Rte 215 to Madison St -02/2016; Mary St UC to Magnolia Ave -02/1996; Magnolia Ave to I-15 -10/1992,Continuation from Route 215,27230.55685
106,8,210,WB,SBD,21.479,SBD,0,73.918,52.439,I-215 to Los AngelesCounty Line,21.479,2+,24 Hr,I-215 to Sierra Ave -07/2007; Sierra Ave to SBD/LA Co Line-11/2002,Continues into Los Angeles County,41700.95545
107,11,905,WB,SD,R11.737,SD,R11.737,,,Otay Mesa Port of Entry ; Lane #14,0.06,Buses,06:00 - 18:00,Jan-85,These lanes reside on federal land (GSA).  Lanes extend south into Mexico.,1.942809659
108,12,22,WB,ORA,R12.384,ORA,R1.202,13.945,2.659,0.8 mi w/of SR-55 to I-405,12.386,2+,24 Hr,Cambridge St to Springdale St - Apr 2007; Springdale St to Valley View St - Dec 2014; Valley View St to I-405 - Dec 2014; I-405 connector - Dec 2014,Includes direct connector to NB I-405 (1.1 ln-mi) (ORA-22-R1.202 to ORA-405-21.208),21827.31271
109,12,91,WB,ORA,8.123,ORA,R0.000,26.496,14.739,Tustin Ave to Los Angeles County Line,11.757,2+,24 Hr,,ORA-91-R4.044 =ORA-91-0.410,22844.82837
